,City,Country,Numbers,Fraction,Longitude,Latitude,Distance to Vienna,Total distance,Retour,tCO2e Realistic,tCO2e Rail,,per country Realistic,per country Rail,,Total SUM Realistic,Total SUM Rail,Total distance
77,Lima,Peru,5,1,-77.0,-12.1,11250.7,56253.6,112507.2,28.1,28.1,,28.1,28.1,,,,
78,Minsk,Belarus,5,1,27.6,53.9,1006.3,5031.7,10063.5,2.0,0.3,,2.0,0.3,,,,
79,Tirana,Albania,5,1,19.8,41.3,811.6,4057.9,8115.8,1.6,0.2,,1.6,0.2,,,,
80,Tunis,Tunisia,4,1,9.4,33.8,1697.8,6791.2,13582.5,3.4,3.4,,3.4,3.4,,,,
81,Muscat,Oman,4,1,58.6,23.5,4610.1,18440.5,36881.1,9.2,9.2,,9.2,9.2,,,,
82,Saint-Denis,Réunion,4,1,55.4,-20.9,8584.9,34339.8,68679.5,17.2,17.2,,17.2,17.2,,,,
83,Almaty,Kazakhstan,4,1,76.9,43.2,4624.5,18498.0,36996.0,9.2,9.2,,9.2,9.2,,,,
84,Windhoek,Namibia,3,1,17.1,-22.6,7839.3,23518.0,47035.9,11.8,11.8,,11.8,11.8,,,,
85,Karachi,Pakistan,3,1,67.2,25.1,5091.6,15274.8,30549.7,7.6,7.6,,7.6,7.6,,,,
86,Montevideo,Uruguay,3,1,-56.2,-34.9,11680.9,35042.6,70085.1,17.5,17.5,,17.5,17.5,,,,
87,Lagos,Nigeria,2,1,3.4,6.5,4788.5,9577.0,19154.0,4.8,4.8,,4.8,4.8,,,,
88,Cayenne,French Guiana,2,1,-52.3,4.9,8030.2,16060.5,32121.0,8.0,8.0,,8.0,8.0,,,,
89,Dakar,Senegal,2,1,-17.4,14.7,4839.8,9679.5,19359.0,4.8,4.8,,4.8,4.8,,,,
90,Niamey,Niger,2,1,2.1,13.5,4065.5,8131.0,16262.0,4.1,4.1,,4.1,4.1,,,,
91,Skopje,The Republic of North Macedonia,2,1,21.4,42.0,796.6,1593.1,3186.3,0.6,0.1,,0.6,0.1,,,,
92,San Jose,Costa Rica,2,1,-84.1,9.9,9956.4,19912.8,39825.6,10.0,10.0,,10.0,10.0,,,,
93,Yerevan,Armenia,2,1,44.5,40.2,2403.3,4806.5,9613.0,2.4,2.4,,2.4,2.4,,,,
94,Kampala,Uganda,2,1,32.6,0.3,5532.0,11063.9,22127.9,5.5,5.5,,5.5,5.5,,,,
95,Kuwait City,Kuwait,2,1,48.0,29.4,3410.2,6820.3,13640.6,3.4,3.4,,3.4,3.4,,,,
96,Pyongyang,North Korea,2,1,125.8,39.0,8103.6,16207.1,32414.2,8.1,8.1,,8.1,8.1,,,,
97,Podgorica,Montenegro,2,1,19.3,42.4,679.6,1359.3,2718.6,0.1,0.1,,0.1,0.1,,,,
98,Faaa,French Polynesia,2,1,-149.6,-17.6,16377.5,32755.0,65510.1,16.4,16.4,,16.4,16.4,,,,
99,Quito,Ecuador,2,1,-78.5,-0.2,10390.4,20780.8,41561.6,10.4,10.4,,10.4,10.4,,,,
100,Lilongwe,Malawi,2,1,33.8,-14.0,7101.3,14202.5,28405.0,7.1,7.1,,7.1,7.1,,,,
101,Macau,Macao,1,1,113.5,22.2,8709.6,8709.6,17419.2,4.4,4.4,,4.4,4.4,,,,
102,Monaco,Monaco,1,1,7.4,43.7,852.4,852.4,1704.8,0.3,0.1,,0.3,0.1,,,,
103,Noumea,New Caledonia,1,1,166.4,-22.3,16099.1,16099.1,32198.2,8.0,8.0,,8.0,8.0,,,,
104,Doha,Qatar,1,1,51.5,25.3,3979.0,3979.0,7957.9,2.0,2.0,,2.0,2.0,,,,
105,Bishkek,Kyrgyzstan,1,1,74.6,42.9,4476.4,4476.4,8952.8,2.2,2.2,,2.2,2.2,,,,
106,Tashkent,Uzbekistan,1,1,69.3,41.3,4173.1,4173.1,8346.1,2.1,2.1,,2.1,2.1,,,,
107,Sarajevo,Bosnia And Herzegovina,1,1,18.4,43.9,508.7,508.7,1017.3,0.0,0.0,,0.0,0.0,,,,
108,Baghdad,Iraq,1,1,44.4,33.3,2860.6,2860.6,5721.2,1.4,1.4,,1.4,1.4,,,,
109,Addis Ababa,Ethiopia,1,1,38.8,9.0,4826.8,4826.8,9653.6,2.4,2.4,,2.4,2.4,,,,
110,Yangon,Myanmar,1,1,96.1,17.1,7859.2,7859.2,15718.5,3.9,3.9,,3.9,3.9,,,,
111,Manila,Philippines,1,1,121.0,14.6,9859.7,9859.7,19719.4,4.9,4.9,,4.9,4.9,,,,
112,Bandar Seri Begawan,Brunei Darussalam,1,1,114.9,4.9,10239.5,10239.5,20479.0,5.1,5.1,,5.1,5.1,,,,
113,Santa Cruz de la Sierra,Bolivia,1,1,-63.2,-17.8,10715.7,10715.7,21431.4,5.4,5.4,,5.4,5.4,,,,
114,Abidjan,Côte d'Ivoire,1,1,-4.0,5.4,5124.8,5124.8,10249.5,2.6,2.6,,2.6,2.6,,,,
115,Harare,Zimbabwe,1,1,31.0,-17.8,7458.5,7458.5,14917.0,3.7,3.7,,3.7,3.7,,,,
116,Kigali,Rwanda,1,1,30.1,-1.9,5708.3,5708.3,11416.6,2.9,2.9,,2.9,2.9,,,,
117,Bridgetown,Barbados,1,1,-59.6,13.1,7897.6,7897.6,15795.2,3.9,3.9,,3.9,3.9,,,,
118,Belize City,Belize,1,1,-88.2,17.5,9611.6,9611.6,19223.2,4.8,4.8,,4.8,4.8,,,,
